datdep,ptcar_lg_nm_nl,delay_arr,delay_dep,circ_typ,train_serv,mois
10MAR2025,KORTENBERG,-0.45,-0.45,1,SNCB/NMBS,2025-03
19MAR2025,MORTSEL,-2.8,-2.8,1,THI-FACT,2025-03
21MAR2025,ZAVENTEM,0.85,0.48,1,SNCB/NMBS,2025-03
07MAR2025,CHASTRE,6.0,6.0,1,SNCB/NMBS,2025-03
04MAR2025,LENS,1.53,1.2,1,SNCB/NMBS,2025-03
20MAR2025,WEZEMAAL,-2.17,-2.17,1,SNCB/NMBS,2025-03
12MAR2025,BRUSSEL-CENTRAAL,2.93,3.42,1,SNCB/NMBS,2025-03
07MAR2025,BRUSSEL-KAPELLEKERK,0.92,0.92,1,SNCB/NMBS,2025-03
07MAR2025,SAINT-GHISLAIN,-1.18,0.17,1,SNCB/NMBS,2025-03
21MAR2025,BRUSSEL-NOORD,-0.35,0.28,1,SNCB/NMBS,2025-03
26MAR2025,THIEU,-0.63,-0.63,1,SNCB/NMBS,2025-03
10MAR2025,ETTERBEEK,2.03,0.5,1,SNCB/NMBS,2025-03
14MAR2025,BORDET,0.03,0.15,1,SNCB/NMBS,2025-03
18MAR2025,RUISBROEK,0.15,0.15,1,SNCB/NMBS,2025-03
18MAR2025,SINT-KATELIJNE-WAVER,1.15,1.15,1,SNCB/NMBS,2025-03
08MAR2025,ZWIJNDRECHT,3.6,3.6,1,SNCB/NMBS,2025-03
27MAR2025,MECHELEN,0.05,0.28,1,SNCB/NMBS,2025-03
04MAR2025,DIEPENBEEK,-0.1,-0.08,1,SNCB/NMBS,2025-03
21MAR2025,HAVERSIN,13.32,13.32,1,SNCB/NMBS,2025-03
05MAR2025,FLEMALLE-GRANDE,10.68,10.68,1,SNCB/NMBS,2025-03
14MAR2025,ANS,1.73,1.73,1,SNCB/NMBS,2025-03
04MAR2025,DIEST,-1.28,0.02,1,SNCB/NMBS,2025-03
04MAR2025,MOUTERIJ,1.25,1.25,1,SNCB/NMBS,2025-03
05MAR2025,HENNUYERES,-1.8,-1.8,1,SNCB/NMBS,2025-03
18MAR2025,HOURPES,1.27,1.4,1,SNCB/NMBS,2025-03
22MAR2025,BRUSSEL-LUXEMBURG,0.43,0.45,1,SNCB/NMBS,2025-03
25MAR2025,BRUSSEL-KAPELLEKERK,2.83,2.83,1,SNCB/NMBS,2025-03
11MAR2025,VERTRIJK,-2.02,-2.02,1,SNCB/NMBS,2025-03
10MAR2025,LA LOUVIERE-CENTRE,0.12,0.02,1,SNCB/NMBS,2025-03
21MAR2025,BUIZINGEN,0.15,0.15,1,SNCB/NMBS,2025-03
24MAR2025,EZEMAAL,6.32,6.32,1,SNCB/NMBS,2025-03
21MAR2025,BRUSSEL-CONGRES,0.12,0.12,1,SNCB/NMBS,2025-03
07MAR2025,ROUX,2.08,2.08,1,SNCB/NMBS,2025-03
10MAR2025,PHILIPPEVILLE,-0.17,0.23,1,SNCB/NMBS,2025-03
